Id,SalePrice
1461,114042.1
1462,164575.23
1463,190523.47
1464,198186.23
1465,189446.47
1466,172699.11
1467,168892.52
1468,167133.72
1469,182196.75
1470,129478.18
1471,196605.39
1472,90922.44
1473,92351.41
1474,150166.78
1475,126087.92
1476,400745.88
1477,263604.38
1478,289691.16
1479,199269.98
1480,501498.62
1481,327251.22
1482,218828.56
1483,169612.6
1484,170616.8
1485,179939.5
1486,191039.69
1487,362242.06
1488,232600.16
1489,206552.8
1490,214188.56
1491,192251.27
1492,84055.16
1493,185822.23
1494,305353.88
1495,289943.47
1496,228206.94
1497,180171.9
1498,169131.92
1499,163920.45
1500,159733.23
1501,174463.94
1502,147403.66
1503,311863.66
1504,237560.23
1505,226692.78
1506,180317.83
1507,252200.67
1508,200022.1
1509,162298.67
1510,143150.05
1511,140403.39
1512,173530.62
1513,139298.36
1514,184927.72
1515,216772.66
1516,161116.34
1517,165406.5
1518,129239.24
1519,221933.81
1520,132719.83
1521,128857.84
1522,168239.03
1523,109391.32
1524,122022.055
1525,124987.59
1526,119540.625
1527,102299.76
1528,136319.08
1529,149656.3
1530,171990.95
1531,103793.33
1532,103242.51
1533,155904.81
1534,121058.18
1535,157340.97
1536,102528.51
1537,64768.91
1538,201408.05
1539,197928.56
1540,110187.98
1541,141484.34
1542,140994.25
1543,221051.1
1544,76614.57
1545,112343.1
1546,132413.66
1547,128231.57
1548,145157.67
1549,113834.79
1550,143562.17
1551,125002.3
1552,157729.17
1553,155664.92
1554,109261.95
1555,171842.12
1556,79789.016
1557,92679.94
1558,93177.805
1559,89419.84
1560,134551.95
1561,130727.67
1562,128519.62
1563,126313.984
1564,158214.67
1565,147204.83
1566,232481.34
1567,72374.97
1568,230317.14
1569,138992.31
1570,132289.33
1571,119991.78
1572,152258.64
1573,232481.28
1574,116102.99
1575,211125.25
1576,222262.45
1577,191648.14
1578,152920.23
1579,150948.7
1580,198280.75
1581,155546.17
1582,129707.33
1583,330651.16
1584,223407.55
1585,137727.23
1586,74251.445
1587,95430.695
1588,146135.36
1589,104794.47
1590,133195.56
1591,92855.34
1592,123367.48
1593,127965.8
1594,163531.5
1595,110419.125
1596,231553.69
1597,178231.1
1598,199999.78
1599,180168.47
1600,182521.72
1601,72300.18
1602,109718.05
1603,81548.23
1604,275812.2
1605,241987.14
1606,164728.75
1607,182438.6
1608,215564.3
1609,187690.28
1610,147259.12
1611,136299.78
1612,160530.62
1613,167916.3
1614,119217.14
1615,97003.91
1616,70972.875
1617,95141.64
1618,123678.1
1619,140904.27
1620,166628.95
1621,135862.61
1622,147696.19
1623,279768.9
1624,207533.61
1625,127142.85
1626,162806.12
1627,187584.33
1628,284868.28
1629,180678.12
1630,416829.0
1631,234882.67
1632,249222.92
1633,165870.48
1634,186308.67
1635,179388.56
1636,155748.78
1637,200094.36
1638,196922.05
1639,183183.2
1640,266485.84
1641,178005.39
1642,222702.05
1643,211365.16
1644,219333.69
1645,209379.4
1646,157247.89
1647,155056.88
1648,129793.086
1649,129119.65
1650,117838.92
1651,123717.68
1652,91173.76
1653,96568.445
1654,148285.05
1655,142643.17
1656,145507.42
1657,150729.28
1658,140810.08
1659,132840.39
1660,153575.27
1661,449977.34
1662,401916.22
1663,418256.03
1664,350376.8
1665,327777.4
1666,282398.38
1667,344734.6
1668,337727.12
1669,297337.38
1670,348228.56
1671,263098.78
1672,509455.5
1673,295589.34
1674,242157.95
1675,193328.48
1676,194061.88
1677,219384.52
1678,530938.06
1679,365404.2
1680,347350.97
1681,253046.1
1682,284676.34
1683,174122.36
1684,165371.92
1685,169999.27
1686,166569.52
1687,158712.67
1688,188731.55
1689,192997.67
1690,189605.23
1691,176918.36
1692,277089.75
1693,166515.17
1694,184671.66
1695,165905.55
1696,293203.62
1697,174690.8
1698,382474.78
1699,340187.1
1700,239975.86
1701,256257.33
1702,254184.69
1703,251907.11
1704,294286.44
1705,235063.08
1706,499965.97
1707,222375.55
1708,210349.14
1709,292989.47
1710,228785.92
1711,247516.38
1712,274975.56
1713,261843.1
1714,220662.58
1715,211260.72
1716,188647.62
1717,179242.3
1718,133168.53
1719,192210.28
1720,244246.7
1721,174378.36
1722,131656.36
1723,154196.36
1724,221184.16
1725,238932.84
1726,183428.72
1727,151136.16
1728,164016.83
1729,163905.4
1730,165887.81
1731,123378.31
1732,132733.45
1733,112358.28
1734,110594.47
1735,125380.336
1736,114194.336
1737,360827.12
1738,211119.77
1739,297360.28
1740,263994.56
1741,202098.7
1742,168332.72
1743,172973.48
1744,315853.4
1745,234216.27
1746,220429.42
1747,210660.23
1748,213131.39
1749,148333.9
1750,131931.19
1751,224844.97
1752,120197.33
1753,152429.52
1754,203085.22
1755,171522.73
1756,135452.64
1757,123202.81
1758,137740.25
1759,159911.5
1760,169675.11
1761,152718.23
1762,197321.08
1763,162938.22
1764,113873.57
1765,174876.27
1766,179932.25
1767,218686.75
1768,145032.22
1769,182480.64
1770,149926.16
1771,129741.35
1772,129917.93
1773,126283.59
1774,126420.72
1775,137067.52
1776,130754.21
1777,115148.37
1778,134966.14
1779,118162.98
1780,167441.17
1781,127254.734
1782,94434.29
1783,141954.02
1784,105360.016
1785,115782.375
1786,162243.19
1787,168744.75
1788,61738.668
1789,96759.96
1790,74460.88
1791,192369.9
1792,156478.89
1793,133421.89
1794,151758.23
1795,128984.99
1796,123976.32
1797,121475.97
1798,128692.03
1799,119333.68
1800,142405.75
1801,130849.38
1802,139276.16
1803,148954.77
1804,141922.08
1805,140098.14
1806,115226.54
1807,143197.8
1808,131669.98
1809,123389.266
1810,144509.0
1811,97604.12
1812,92505.21
1813,122103.77
1814,98968.02
1815,51140.414
1816,93027.48
1817,114124.59
1818,150851.25
1819,116698.05
1820,57038.562
1821,97526.85
1822,142439.05
1823,38429.812
1824,138950.7
1825,144243.8
1826,96714.54
1827,98926.3
1828,143370.81
1829,119040.66
1830,147380.12
1831,173825.45
1832,78707.734
1833,154659.0
1834,109468.12
1835,147699.56
1836,127352.805
1837,88541.27
1838,117436.016
1839,85646.66
1840,166611.61
1841,152413.19
1842,77842.13
1843,133341.83
1844,135396.86
1845,138828.48
1846,149971.66
